TIPO DE NEGOCIO,MGA,NEW VENTURE,COMENTARIOS,REGLA_ESTANDARIZADA
PICKUPS,XPT,APP,"CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",CDL_YEARS_2|MVR|PERDIDAS_5_AÑOS|IFTAS_SI_APLICA
PICKUPS,BERKSHIRE,APLICA,"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas (si aplica).",CDL_YEARS_2|PERDIDAS_SI_APLICA
PICKUPS,ROCKLAKE,APLICA,"MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",CDL_YEARS_2|MVR_YEARS_5|PERDIDAS_SI_APLICA
PICKUPS,PROGRESSIVE,APLICA,-,
PICKUPS,AMWINS,APP,"2+ años en el negocio + Preguntas, para negocios de más de 5 años se requiere min 5 años de pérdidas.",PERDIDAS_5_AÑOS|BUSINESS_YEARS_2+
PICKUPS,LSR,APLICA,"Min 5 unidades, 2+ años en el negocio",BUSINESS_YEARS_2+|MIN_UNITS_5
PICKUPS,GSIAY,NO APLICA,"Solo en flotas, down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",CDL_REQUIRED|MVR|IFTAS_SI_APLICA|REGISTRACIONES|DOWN_25%|MIN_PRICE_25K|SOLO_FLOTAS
PICKUPS,JENCAP,APP," MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_SI_APLICA
PICKUPS,GEICO,APLICA,-,
PICKUPS,MAXIMUM,NO APLICA,"3+ años en el negocio, MVR,CDL IFTAS y pérdidas",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA|BUSINESS_YEARS_3+
PICKUPS,ONE80,NO APLICA,"5+ unidades NV- Si tiene 2+ años, es posible enviar 1-2 unidades, quote de one80.",MIN_UNITS_5|COMPANY_ONE80
PICKUPS,PARAMOUNT,APP - Preguntas,"Solo APD con un truck, no permite solo Pickup, MVR, CDL, Pérdidas",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA
PICKUPS,GREAT WEST,NO APLICA,"Se acepta Truck, trailer, Unico Driver (owner) y paquete AL, MTC y APD (solo NV), 2+ años, AL+MTC/APD más drivers",NV_SOLO_NICO
PICKUPS,NOVATAE,APP,"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",CDL_YEARS_2|MVR|PERDIDAS_LIMPIAS|IFTAS_SI_APLICA|EIN_REQUIRED|APP_DILIGENCIADA|PREGUNTAS_REQUIRED
PICKUPS,SGA,APLICA,"App diligenciada, MVR, CDL con experiencia demostrable de 2 años, pérdidas e IFTAS (Si aplica).",CDL_REQUIRED|MVR|PERDIDAS_SI_APLICA|IFTAS_SI_APLICA
PICKUPS,MJ HALL,APLICA,"Solo para coberturas como APD, MTC  y GL.","COVERAGE_APD,GL,MTC"
