COMENTARIO,FRECUENCIA
-,49
"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",20
"Solo para coberturas como APD, MTC  y GL.",20
"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",17
"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",16
"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",16
"MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",14
"App diligenciada, MVR, CDL con experiencia demostrable de 2 años, pérdidas e IFTAS (Si aplica).",13
3+ años en el negocio,13
" MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",10
"MVR,CDL con dos años demostrable, IFTAS y pérdidas (Si aplica).",10
"Se acepta Truck, trailer, Unico Driver (owner) y paquete AL, MTC y APD (solo NV), 2+ años, AL+MTC/APD más drivers",10
Para negocios de más de 5 años se requiere min 5 años de pérdidas.,7
"CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",6
"Para NV el dueño debe tener min 30 años, experiencia en la industria de +3 años, llenar app y preguntas,CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS.",5
"Min 5 unidades, 2+ años en el negocio",5
"Registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",5
"5+ unidades - Si tiene 2+ años, es posible enviar 1-2 unidades",4
"1+ año en el negocio, registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",4
"Solo con NICO, para negocios de más de 5 años se requiere min 5 años de pérdidas.",3
Solo con NICO,3
"1+ año en el negocio, CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",2
"No ir al botadero, para negocios de más de 5 años se requiere min 5 años de pérdidas.",2
"NV solo con NICO y Canal test drive, resto de compañías 2+ años en el negocio, para negocios de más de 5 años se requiere min 5 años de pérdidas.",2
"CDL con 2 años de experiencia demostrable, MVR, Pérdidas (Si aplica).",2
" Solo NICO MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",2
